Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;< 5,6m;>= 5,6m;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;4443;3589;808;4123;4763;71;31;22;1;46;99;1;3589;808;134;176;56;425;16
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;4103;3306;774;3840;4366;71;31;22;1;24;99,4;2;3306;774;119;172;92;376;14
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;4103;3306;774;3840;4366;71;31;22;1;24;99,4;Totalt i retning Porsgrunn;3306;774;119;172;92;376;14
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;4443;3588;808;4122;4764;71;31;22;1;46;99;Totalt i retning Bamble;3588;808;134;176;56;425;16
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;8546;6894;1582;7968;9124;71;31;22;1;70;99,2;Totalt;6894;1582;253;348;148;802;31
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;4722;3885;791;4428;5016;100;28;28;0;46;99;1;3885;791;136;171;52;417;15
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;4435;3638;769;4169;4701;100;28;28;0;27;99,4;2;3638;769;124;168;89;375;14
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;4435;3639;769;4169;4701;100;28;28;0;27;99,4;Totalt i retning Porsgrunn;3639;769;124;168;89;375;14
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;4722;3885;791;4428;5016;100;28;28;0;47;99;Totalt i retning Bamble;3885;791;136;171;52;417;15
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;9157;7523;1560;8601;9713;100;28;28;0;74;99,2;Totalt;7523;1560;260;339;141;792;29
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;3634;2995;603;2729;4539;100;31;31;0;35;99;1;2995;603;112;149;41;290;11
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;3385;2787;577;2542;4228;100;31;31;0;21;99,4;2;2787;577;102;143;64;258;10
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;3384;2787;577;2541;4227;100;31;31;0;20;99,4;Totalt i retning Porsgrunn;2787;577;102;143;64;258;10
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;3634;2995;603;2729;4539;100;31;31;0;35;99;Totalt i retning Bamble;2995;603;112;149;41;290;11
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;7019;5782;1181;5276;8762;100;31;31;0;56;99,2;Totalt;5782;1181;214;292;105;548;21
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;5701;4726;912;4871;6531;100;30;30;0;63;98,9;1;4726;912;195;273;67;363;14
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;5277;4379;869;4461;6093;100;30;30;0;28;99,5;2;4379;869;183;250;92;332;12
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;5277;4380;869;4461;6093;100;30;30;0;28;99,5;Totalt i retning Porsgrunn;4380;869;183;250;92;332;12
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;5701;4726;912;4870;6532;100;30;30;0;63;98,9;Totalt i retning Bamble;4726;912;195;273;67;363;14
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;10977;9105;1781;9425;12529;100;30;30;0;91;99,2;Totalt;9105;1781;377;523;159;695;26
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;6745;5555;1107;6138;7352;100;31;31;0;82;98,8;1;5555;1107;237;358;82;414;17
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;6114;5025;1048;5574;6654;100;31;31;0;40;99,3;2;5025;1048;220;324;108;380;16
00344V521377;Bambletunnelen syd;EV18 HP 3 Meter 6279;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;6114;5025;1048;5574;6654;100;31;31;0;40;99,3;Totalt i retning Porsgrunn;5025;1048;220;324;108;380;16
