Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-08-01T00:00+02:00;2016-09-01T00:00+02:00;2016;8;108;17;199;19,4;31;6;3;108;0,0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-08-01T00:00+02:00;2016-09-01T00:00+02:00;2016;8;58;9;107;19,4;31;6;3;58;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-08-01T00:00+02:00;2016-09-01T00:00+02:00;2016;8;50;8;92;19,4;31;6;3;50;0,0;Totalt i retning Rising;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-08-01T00:00+02:00;2016-09-01T00:00+02:00;2016;8;108;17;199;19,4;31;6;3;108;0,0;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-09-01T00:00+02:00;2016-10-01T00:00+02:00;2016;9;0;0;0;66,7;30;20;10;0;-;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-09-01T00:00+02:00;2016-10-01T00:00+02:00;2016;9;0;0;0;66,7;30;20;10;0;-;Totalt i retning Vattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-09-01T00:00+02:00;2016-10-01T00:00+02:00;2016;9;0;0;0;66,7;30;20;10;0;-;Totalt i retning Rising;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-09-01T00:00+02:00;2016-10-01T00:00+02:00;2016;9;0;0;0;66,7;30;20;10;0;-;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-11-01T00:00+01:00;2016-12-01T00:00+01:00;2016;11;24;17;31;60,0;30;18;12;24;0,0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-11-01T00:00+01:00;2016-12-01T00:00+01:00;2016;11;14;9;19;60,0;30;18;12;14;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-11-01T00:00+01:00;2016-12-01T00:00+01:00;2016;11;10;7;13;60,0;30;18;12;10;0,0;Totalt i retning Rising;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-11-01T00:00+01:00;2016-12-01T00:00+01:00;2016;11;24;17;31;60,0;30;18;12;24;0,0;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2016-12-01T00:00+01:00;2017-01-01T00:00+01:00;2016;12;19;15;23;93,6;31;29;2;19;0,0;1;-;-;-;-;-;-;-
