Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;13;10;16;100,0;31;31;0;13;0,0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;7;6;8;100,0;31;31;0;7;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;7;6;8;100,0;31;31;0;7;0,0;Totalt i retning Rising;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;13;10;16;100,0;31;31;0;13;0,0;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;19;16;22;99,8;28;28;0;19;0,0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;10;8;12;99,8;28;28;0;10;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;8;6;10;96,4;28;27;1;8;0,0;Totalt i retning Rising;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;19;16;22;100,0;28;28;0;19;0,0;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;34;22;46;100,0;31;31;0;34;0,0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;18;12;24;100,0;31;31;0;18;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;16;10;22;100,0;31;31;0;16;0,0;Totalt i retning Rising;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;34;22;46;100,0;31;31;0;34;0,0;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;103;90;116;100,0;30;30;0;103;0,0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;55;48;62;100,0;30;30;0;55;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;48;42;54;100,0;30;30;0;48;0,0;Totalt i retning Rising;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;103;90;116;100,0;30;30;0;103;0,0;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;99;81;117;100,0;31;31;0;99;0,0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;55;45;65;100,0;31;31;0;55;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;44;36;52;100,0;31;31;0;44;0,0;Totalt i retning Rising;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;99;81;117;100,0;31;31;0;99;0,0;Totalt;-;-;-;-;-;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;3866;3656;4076;100,0;31;31;0;1;100,0;1;3111;755;129;177;59;375;15
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;4070;3766;4374;100,0;31;31;0;0;100,0;2;3285;784;137;183;44;403;17
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;3866;3656;4076;100,0;31;31;0;1;100,0;Totalt i retning Porsgrunn;3111;755;128;177;59;375;15
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;4070;3766;4374;100,0;31;31;0;0;100,0;Totalt i retning Bamble;3285;784;137;183;44;403;17
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;7936;7474;8398;100,0;31;31;0;1;100,0;Totalt;6396;1539;266;360;103;778;32
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;4503;4180;4826;100,0;28;28;0;0;100,0;1;3631;872;147;203;72;432;19
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;4792;4394;5190;100,0;28;28;0;1;100,0;2;3895;896;158;212;52;454;20
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;4503;4179;4827;100,0;28;28;0;0;100,0;Totalt i retning Porsgrunn;3631;872;147;203;72;432;19
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;4792;4394;5190;100,0;28;28;0;1;100,0;Totalt i retning Bamble;3895;896;158;212;52;454;20
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;9295;8654;9936;100,0;28;28;0;1;100,0;Totalt;7526;1768;305;415;124;886;39
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;4758;4502;5014;100,0;31;31;0;1;100,0;1;3765;992;175;260;75;463;19
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;5421;4965;5877;100,0;31;31;0;1;100,0;2;4364;1055;200;291;58;485;21
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;4758;4502;5014;100,0;31;31;0;1;100,0;Totalt i retning Porsgrunn;3765;992;175;260;75;463;19
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;5421;4965;5877;100,0;31;31;0;2;100,0;Totalt i retning Bamble;4364;1055;200;290;58;485;21
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;10180;9531;10829;100,0;31;31;0;4;100,0;Totalt;8129;2047;376;551;133;948;40
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;9348;8603;10093;100,0;30;30;0;3;100,0;1;7975;1370;310;493;98;453;17
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;6759;6081;7437;100,0;30;30;0;2;100,0;2;5455;1302;257;444;95;487;20
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;9348;8603;10093;100,0;30;30;0;3;100,0;Totalt i retning Porsgrunn;7975;1370;310;493;98;453;17
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;6760;6082;7438;100,0;30;30;0;3;100,0;Totalt i retning Bamble;5455;1303;257;444;95;487;20
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;16108;14898;17318;100,0;30;30;0;6;100,0;Totalt;13430;2673;567;937;194;939;36
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;10720;10120;11320;100,0;31;31;0;5;100,0;1;9238;1478;341;557;107;455;18
