Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;8574;7760;9388;83,5;31;26;5;1;100;1;8026;548;162;280;42;63;63;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;8796;8041;9551;83,5;31;26;5;16;99,8;2;8129;652;239;211;116;86;85;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;8797;8042;9552;83,5;31;26;5;16;99,8;Totalt i retning PORSGRUNN;8129;652;239;211;116;86;85;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;8573;7759;9387;83,5;31;26;5;1;100;Totalt i retning SKIEN;8025;548;162;280;42;63;63;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;17370;15802;18938;83,5;31;26;5;16;99,9;Totalt;16154;1200;401;492;158;149;148;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;8889;8059;9719;71,2;28;20;8;1;100;1;8305;583;170;298;39;75;75;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;9062;8306;9818;71,2;28;20;8;12;99,9;2;8351;699;256;230;116;98;97;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;9063;8306;9820;71,2;28;20;8;12;99,9;Totalt i retning PORSGRUNN;8352;699;256;230;116;98;97;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;8888;8058;9718;71,2;28;20;8;1;100;Totalt i retning SKIEN;8304;583;170;298;39;75;75;0
22044V521398;Borgestad  ;FV32 S8D1 m2310;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;14044;12878;15210;100;31;31;0;3;100;Totalt;12970;1072;311;449;143;169;168;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;8918;8201;9635;92,7;31;29;2;2;100;1;8346;571;167;303;29;71;71;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;9115;8464;9766;92,7;31;29;2;11;99,9;2;8430;673;246;241;102;85;84;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;9116;8465;9767;92,7;31;29;2;11;99,9;Totalt i retning PORSGRUNN;8431;673;246;241;102;85;84;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;8917;8200;9634;92,7;31;29;2;2;100;Totalt i retning SKIEN;8345;571;167;303;29;71;71;0
29151V521176;Lensmannsdalen;RV36 S2D1 m1699;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;16132;14596;17668;100;31;31;0;6;100;Totalt;14858;1268;411;559;166;132;129;3
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;8788;7974;9602;89;30;27;3;2;100;1;8142;644;183;349;38;74;74;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;8958;8194;9722;89;30;27;3;76;99,2;2;8109;772;254;295;116;107;104;3
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;8959;8195;9723;89;30;27;3;76;99,2;Totalt i retning PORSGRUNN;8111;772;254;295;116;107;104;3
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;8786;7972;9600;89;30;27;3;2;100;Totalt i retning SKIEN;8140;644;183;349;38;74;74;0
32825V521440;Skjelsvik;FV354 S1D1 m2512;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;10122;9261;10983;99,9;31;31;0;0;100;Totalt;9233;888;348;222;276;42;41;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;9366;8624;10108;92,9;31;29;2;4;100;1;8615;748;203;409;51;84;84;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;9603;8867;10339;92,9;31;29;2;40;99,6;2;8694;869;276;357;122;114;112;2
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;9604;8868;10340;92,9;31;29;2;40;99,6;Totalt i retning PORSGRUNN;8695;869;276;357;122;114;112;2
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;9364;8623;10105;92,9;31;29;2;3;100;Totalt i retning SKIEN;8613;748;203;409;51;84;84;0
61760V521240;Ballestadhøgda;FV3270 S1D1 m3476;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;3887;3581;4193;100;31;31;0;6;99,8;Totalt;3714;166;50;99;11;6;6;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;9444;8667;10221;99,7;30;30;0;1;100;1;8680;762;221;415;48;79;79;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;9773;8994;10552;99,7;30;30;0;26;99,7;2;8860;888;293;380;112;103;101;2
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;9774;8995;10553;99,7;30;30;0;25;99,7;Totalt i retning PORSGRUNN;8861;888;294;380;112;103;101;2
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;9443;8666;10220;99,7;30;30;0;1;100;Totalt i retning SKIEN;8679;762;221;415;48;79;79;0
66595V521439;Svanvik;FV353 S3D1 m830;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;4331;3956;4706;99,9;31;31;0;2;100;Totalt;3817;512;165;176;63;108;107;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;8165;7702;8628;99,6;31;31;0;1;100;1;7479;685;198;369;51;66;66;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;8579;8091;9067;99,6;31;31;0;12;99,9;2;7786;781;256;344;93;88;87;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;8580;8092;9068;99,6;31;31;0;12;99,9;Totalt i retning PORSGRUNN;7787;781;256;344;93;88;87;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;8164;7701;8627;99,6;31;31;0;1;100;Totalt i retning SKIEN;7478;685;198;369;51;66;66;0
83421V521401;Skjelbredstrand;RV36 S4D1 m208;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;5405;5065;5745;100;31;31;0;2;100;Totalt;4834;569;157;209;68;134;134;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;9366;8727;10005;99,6;31;31;0;1;100;1;8625;740;213;393;51;82;82;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;9598;8986;10210;99,6;31;31;0;22;99,8;2;8743;832;274;345;106;107;106;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;9599;8986;10212;99,6;31;31;0;22;99,8;Totalt i retning PORSGRUNN;8744;833;274;345;106;107;106;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;9365;8726;10004;99,6;31;31;0;1;100;Totalt i retning SKIEN;8624;740;213;393;51;82;82;0
88800V521399;Sandviksvegen;FV32 S7D1 m2432;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;9408;8560;10256;100;31;31;0;3;100;Totalt;8809;596;197;208;154;37;37;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-09-01T00:00+02:00;2019-10-01T00:00+02:00;2019;9;9725;9036;10414;100;30;30;0;1;100;1;8941;783;215;420;54;93;93;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-09-01T00:00+02:00;2019-10-01T00:00+02:00;2019;9;9919;9278;10560;100;30;30;0;27;99,7;2;9002;890;280;369;124;117;115;2
06938V521177;Kjørbekk;RV36 S2D1 m3559;2019-09-01T00:00+02:00;2019-10-01T00:00+02:00;2019;9;9920;9279;10561;100;30;30;0;27;99,7;Totalt i retning PORSGRUNN;9003;890;280;369;124;117;115;2
