Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;16;13;19;100,0;31;31;0;16;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;9;7;11;100,0;31;31;0;9;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;7;6;8;100,0;31;31;0;7;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;16;13;19;100,0;31;31;0;16;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;18;15;21;100,0;28;28;0;18;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;10;8;12;100,0;28;28;0;10;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;8;6;10;100,0;28;28;0;8;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;18;15;21;100,0;28;28;0;18;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;67;59;75;100,0;31;31;0;67;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;36;32;40;100,0;31;31;0;36;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;31;27;35;100,0;31;31;0;31;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;67;59;75;100,0;31;31;0;67;0,0;Totalt;-;-;-;-;-;-;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;5805;5412;6198;100,0;31;31;0;1;100,0;1;4736;1068;185;330;86;467;440;27
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;8232;7794;8670;100,0;31;31;0;1;100,0;2;7147;1084;211;349;82;443;420;23
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;8232;7794;8670;100,0;31;31;0;1;100,0;Totalt i retning Porsgrunn;7147;1084;211;349;82;443;420;23
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;5805;5412;6198;100,0;31;31;0;1;100,0;Totalt i retning Bamble;4736;1068;185;330;86;467;440;27
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;14036;13213;14859;100,0;31;31;0;2;100,0;Totalt;11883;2152;396;679;168;910;860;50
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;6646;6253;7039;100,0;28;28;0;0;100,0;1;5496;1150;212;343;90;505;477;28
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;9209;8784;9634;100,0;28;28;0;1;100,0;2;8035;1173;237;362;90;484;460;24
