Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2014-12-01T00:00+01:00;2015-01-01T00:00+01:00;2014;12;6255;5305;7205;61,3;31;19;1;4;99,9;1;5869;381;95;128;69;88;1
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2014-12-01T00:00+01:00;2015-01-01T00:00+01:00;2014;12;6179;5274;7084;61,3;31;19;1;114;98,2;2;5751;314;108;103;68;36;0
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2014-12-01T00:00+01:00;2015-01-01T00:00+01:00;2014;12;6178;5273;7083;61,3;31;19;1;114;98,2;Totalt i retning KLEVSTRAND;5750;314;108;103;68;36;0
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2014-12-01T00:00+01:00;2015-01-01T00:00+01:00;2014;12;6255;5305;7205;61,3;31;19;1;4;99,9;Totalt i retning PORSGRUNN;5870;381;95;128;69;88;1
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2014-12-01T00:00+01:00;2015-01-01T00:00+01:00;2014;12;12433;10579;14287;61,3;31;19;1;117;99,1;Totalt;11620;696;203;231;137;124;1
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2015-01-01T00:00+01:00;2015-02-01T00:00+01:00;2015;1;6567;5964;7170;100,0;31;31;0;7;99,9;1;6070;490;119;155;92;123;2
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2015-01-01T00:00+01:00;2015-02-01T00:00+01:00;2015;1;6538;5988;7088;100,0;31;31;0;198;97,0;2;5968;372;139;116;84;32;0
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2015-01-01T00:00+01:00;2015-02-01T00:00+01:00;2015;1;6538;5988;7088;100,0;31;31;0;198;97,0;Totalt i retning KLEVSTRAND;5968;372;139;116;84;32;0
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2015-01-01T00:00+01:00;2015-02-01T00:00+01:00;2015;1;6567;5964;7170;100,0;31;31;0;7;99,9;Totalt i retning PORSGRUNN;6070;490;119;155;92;123;2
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2015-01-01T00:00+01:00;2015-02-01T00:00+01:00;2015;1;13105;11952;14258;100,0;31;31;0;205;98,4;Totalt;12038;862;258;271;175;155;2
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2015-02-01T00:00+01:00;2015-03-01T00:00+01:00;2015;2;6676;6099;7253;100,0;28;28;0;7;99,9;1;6118;550;124;166;98;160;2
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2015-02-01T00:00+01:00;2015-03-01T00:00+01:00;2015;2;6820;6279;7361;100,0;28;28;0;192;97,2;2;6193;435;154;136;86;59;0
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2015-02-01T00:00+01:00;2015-03-01T00:00+01:00;2015;2;6820;6279;7361;100,0;28;28;0;192;97,2;Totalt i retning KLEVSTRAND;6192;435;154;136;86;59;0
87318V521440;Klevstrand  ;RV36 HP 1 Meter 3199;2015-02-01T00:00+01:00;2015-03-01T00:00+01:00;2015;2;6677;6100;7254;100,0;28;28;0;8;99,9;Totalt i retning PORSGRUNN;6119;550;124;166;98;160;2
