FID;kommunenum;Malestasjo;Trafikantg;Status;Vegkategori;Stedsnavn;Tellepunktnavn;POINT_X;POINT_Y;POINT_Z;POINT_M
0;6;800008;Motorkjøretøy;Operativt;Rv 36;Lensmannsdalen;Lensmannsdalen;9,63556857;59,15916198;14,59999998;1780
1;6;800017;Motorkjøretøy;Operativt;Rv 36;Skjelbredstrand;Skjelbredstrand;9,5106941;59,18410942;27,89698766;290
2;14;800009;Motorkjøretøy;Operativt;Ev 18;Bambletunnelen syd;Bambletunnelen syd;9,676179541;59,04187413;27,94267879;6275
3;6;800164;Motorkjøretøy;Operativt;Fv 353;Svanvik;Svanvik;9,520438864;59,13158882;5,102770164;830
4;5;800123;Motorkjøretøy;Operativt;Ev 18;Brattåstunnelen syd;Brattåstunnelen syd;9,666976319;59,09617588;53,76612909;3740
5;14;800011;Motorkjøretøy;Operativt;Ev 18;Stokkebakken;Stokkebakken;9,60529907;58,98134449;46,09999991;1800,083776
6;5;800150;Motorkjøretøy;Operativt;Rv 36;Klevstrand;Klevstrand;9,649920239;59,12081538;3,300000054;3564
7;6;800021;Motorkjøretøy;Operativt;Fv 31;Ballestadhøgda;Ballestadhøgda;9,64377532;59,18597022;80,00608084;3470
8;5;800142;Motorkjøretøy;Operativt;Fv 354;Porsgrunnbrua;Porsgrunnbrua;9,640648413;59,14084108;3,799999943;2139
9;5;800152;Motorkjøretøy;Operativt;Fv 32;Vallermyrene;Vallermyrene;9,681305331;59,13163109;7,500000029;5790,170374
10;6;800197;Motorkjøretøy;Operativt;Fv 48;Bjørntvedtvegen Nord;Bjørntvedtvegen Nord;9,603579519;59,18443346;32,3999999;4960
11;5;800010;Motorkjøretøy;Operativt;Ev 18;Lannerheia;Lannerheia;9,772269968;59,09963799;124,6948404;5294
12;6;800013;Motorkjøretøy;Operativt;Fv 32;Menstadbrua;Menstadbrua;9,632649729;59,174121;26,80000009;489,0000006
13;5;800015;Motorkjøretøy;Operativt;Rv 36;Vabakken;Vabakken;9,628294005;59,13954326;10,02125556;6154
