FID;kommunenum;Malestasjo;Trafikantg;Status;Stedsnavn;POINT_X;POINT_Y;POINT_Z;POINT_M
0;6;800512;Sykkel;Operativt;Moflata Sykkeltellepunkt;9,589622405729999;59,193200724100002;25,500048629999998;1319,767414940000000
1;6;800526;Sykkel;Operativt;Jonassen bru sykkeltellepunkt;9,591125055939999;59,201940415899998;9,620848629959999;160,000014943999990
2;14;800514;Sykkel;Operativt;Stathelle Sykkeltellepunkt;9,696553972120000;59,042745260200000;31,916448630000001;380,000014943999990
3;11;800519;Sykkel;Operativt;Siljan sykkeltellepunkt;9,723215724919999;59,275839961199999;113,942348630000000;45,000014943899998
4;5;800028;Sykkel;Ikke operativt;Porsgrunnbrua sykkeltellepunkt Ø;9,640493756860000;59,140900373800001;3,900048629960000;2226,470214940000000
5;6;800521;Sykkel;Operativt;Gråten sykkeltellepunkt;9,612640873549999;59,189204283300000;23,800048629999999;513,000014943999990
6;5;800029;Sykkel;Ikke operativt;FG356 HP 201 Meter 2227;9,640493756860000;59,140900373800001;3,900048629960000;2226,470214940000000
7;6;800523;Sykkel;Operativt;Klosterskogen sykkeltellepunkt;9,600877714670000;59,187773545399999;30,100048630000000;6110,004914940000200
8;6;800520;Sykkel;Operativt;Lundedalen Sykkeltellepunkt;9,598868211219999;59,210059238800000;24,248548629999998;344,000014943999990
9;5;800515;Sykkel;Operativt;Nystrand Sykkeltellepunkt;9,700190023210000;59,107655932400000;7,969648629960000;100,000014944000000
10;5;800510;Sykkel;Ikke operativt;Ørviksletta Sykkeltellepunkt;9,689668415330001;59,065204004100003;29,636948629999999;4689,000014940000300
11;6;800508;Sykkel;Operativt;Nenset Sykkeltellepunkt;9,634260263800000;59,168422807100001;22,400048630000001;2891,780614939999900
12;6;800511;Sykkel;Operativt;Elstrømbrua Sykkeltellepunkt;9,583968473080001;59,199905309300000;20,768548630000002;270,000014943999990
13;6;800522;Sykkel;Operativt;Falkumbrua Sykkeltellepunkt;9,588493547840001;59,204808746900000;13,893448630000000;1120,000014940000000
14;5;800506;Sykkel;Operativt;Klevstrand Sykkeltellepunkt;9,649522320110000;59,120966244900004;2,530848629960000;3595,000014939999800
15;6;800504;Sykkel;Operativt;Smieøya Sykkeltellepunkt;9,608866302879999;59,204118784199999;11,475148630000000;2213,000014939999800
16;5;800529;Sykkel;Operativt;Øyekast sykkeltellepunkt;9,639104581130001;59,127568003000000;25,653348630000000;1018,000014940000000
17;6;800509;Sykkel;Operativt;Ballestad Sykkeltellepunkt;9,643525454000001;59,186208002500003;79,644048630000000;3500,000014939999800
18;5;800513;Sykkel;Operativt;Sundjordet Sykkeltellepunkt;9,635322467450001;59,134114147200002;1,400048629960000;370,000014943999990
19;5;800503;Sykkel;Operativt;Borgestad Sykkeltellepunkt;9,657155035700001;59,155545372299997;18,000048629999998;2360,346914939999800
20;5;800530;Sykkel;Ikke operativt;Porsgrunnbrua Vest sykkeltellepunkt;9,640722514500000;59,140923538499997;3,856448629960000;2247,000014939999800
21;6;800525;Sykkel;Operativt;Risingvegen sykkeltellepunkt;9,604620699930001;59,221004897900002;51,900048630000001;11188,175714900000000
22;6;800507;Sykkel;Operativt;Menstad Sykkeltellepunkt;9,641774635990000;59,173872423500001;13,400048630000001;120,000014944000000
23;6;800518;Sykkel;Operativt;Bøle Sykkeltellepunkt;9,628650918270001;59,184600531999997;18,658048630000000;4760,000014940000300
24;5;800517;Sykkel;Operativt;Skjelsvikdalen Sykkeltellepunkt;9,671877202210000;59,101470022199997;31,700048630000001;810,000014943999990
25;6;800527;Sykkel;Operativt;Luksefjellvegen sykkeltellepunkt;9,604110858560000;59,221430959499997;54,500048630000002;27,764714943900000
26;6;800524;Sykkel;Operativt;Menstad bru sykkeltellepunkt;9,632491589110000;59,174212543099998;26,000048629999998;584,029114943999960
27;5;800528;Sykkel;Operativt;Deichmannsgate sykkeltellepunkt;9,646053861680001;59,130922003999999;0,000048629963999;1,000000000000000
28;0;0; ; ; ;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
29;0;0; ; ; ;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
