Linje;Period;År;Måned;Antall
8000;2022/01;2022;1;600
8000;2022/02;2022;2;60
8000;2022/03;2022;3;44
8000;2022/04;2022;4;13
8000;2022/05;2022;5;27
8001;2022/01;2022;1;77 012
8001;2022/02;2022;2;89 970
8001;2022/03;2022;3;118 188
8001;2022/04;2022;4;97 209
8001;2022/05;2022;5;109 230
8002;2022/01;2022;1;61 880
8002;2022/02;2022;2;68 419
8002;2022/03;2022;3;92 484
8002;2022/04;2022;4;72 214
8002;2022/05;2022;5;81 685
8003;2022/01;2022;1;69 004
8003;2022/02;2022;2;76 728
8003;2022/03;2022;3;100 554
8003;2022/04;2022;4;77 024
8003;2022/05;2022;5;89 049
8004;2022/01;2022;1;11 551
8004;2022/02;2022;2;12 802
8004;2022/03;2022;3;16 627
8004;2022/04;2022;4;11 877
8004;2022/05;2022;5;12 599
8005;2022/01;2022;1;10 807
8005;2022/02;2022;2;11 430
8005;2022/03;2022;3;15 019
8005;2022/04;2022;4;11 444
8005;2022/05;2022;5;12 375
8006;2022/01;2022;1;10 450
8006;2022/02;2022;2;11 794
8006;2022/03;2022;3;16 167
8006;2022/04;2022;4;11 324
8006;2022/05;2022;5;12 861
8007;2022/01;2022;1;9 141
8007;2022/02;2022;2;9 116
8007;2022/03;2022;3;11 730
8007;2022/04;2022;4;8 057
8007;2022/05;2022;5;8 748
8008;2022/01;2022;1;1 555
8008;2022/02;2022;2;1 569
8008;2022/03;2022;3;1 961
8008;2022/04;2022;4;1 379
8008;2022/05;2022;5;1 702
8009;2022/01;2022;1;5 895
8009;2022/02;2022;2;5 390
8009;2022/03;2022;3;7 033
8009;2022/04;2022;4;5 411
8009;2022/05;2022;5;6 328
8011;2022/01;2022;1;851
8011;2022/02;2022;2;853
8011;2022/03;2022;3;962
8011;2022/04;2022;4;749
8011;2022/05;2022;5;956
8012;2022/01;2022;1;1 015
8012;2022/02;2022;2;1 077
8012;2022/03;2022;3;1 286
8012;2022/04;2022;4;814
8012;2022/05;2022;5;1 060
8013;2022/01;2022;1;1 227
8013;2022/02;2022;2;1 074
8013;2022/03;2022;3;1 183
8013;2022/04;2022;4;918
8013;2022/05;2022;5;1 008
8014;2022/01;2022;1;766
8014;2022/02;2022;2;872
8014;2022/03;2022;3;894
8014;2022/04;2022;4;693
8014;2022/05;2022;5;829
8015;2022/01;2022;1;924
8015;2022/02;2022;2;810
8015;2022/03;2022;3;907
8015;2022/04;2022;4;688
8015;2022/05;2022;5;825
8016;2022/01;2022;1;649
8016;2022/02;2022;2;593
8016;2022/03;2022;3;768
8016;2022/04;2022;4;577
8016;2022/05;2022;5;782
8070;2022/01;2022;1;1 862
8070;2022/02;2022;2;1 854
8070;2022/03;2022;3;2 598
8070;2022/04;2022;4;1 650
8070;2022/05;2022;5;1 819
8084;2022/01;2022;1;489
8084;2022/02;2022;2;453
8084;2022/03;2022;3;547
8084;2022/04;2022;4;326
8084;2022/05;2022;5;445
8101;2022/01;2022;1;1 036
8101;2022/02;2022;2;1 007
8101;2022/03;2022;3;1 128
8101;2022/04;2022;4;702
8101;2022/05;2022;5;881
8102;2022/01;2022;1;1 888
8102;2022/02;2022;2;1 517
8102;2022/03;2022;3;2 067
8102;2022/04;2022;4;1 642
8102;2022/05;2022;5;1 816
8103;2022/01;2022;1;4 141
8103;2022/02;2022;2;4 314
8103;2022/03;2022;3;6 204
8103;2022/04;2022;4;4 308
8103;2022/05;2022;5;5 460
8104;2022/01;2022;1;364
8104;2022/02;2022;2;305
8104;2022/03;2022;3;481
8104;2022/04;2022;4;310
8104;2022/05;2022;5;369
8111;2022/01;2022;1;934
8111;2022/02;2022;2;922
8111;2022/03;2022;3;1 625
8111;2022/04;2022;4;1 064
8111;2022/05;2022;5;1 139
8113;2022/01;2022;1;18
8113;2022/02;2022;2;25
8113;2022/03;2022;3;24
8113;2022/04;2022;4;18
8113;2022/05;2022;5;16
8115;2022/01;2022;1;467
8115;2022/02;2022;2;479
8115;2022/03;2022;3;807
8115;2022/04;2022;4;510
8115;2022/05;2022;5;583
8116;2022/01;2022;1;1 599
8116;2022/02;2022;2;1 309
8116;2022/03;2022;3;1 842
8116;2022/04;2022;4;1 085
8116;2022/05;2022;5;1 262
8117;2022/01;2022;1;478
8117;2022/02;2022;2;454
8117;2022/03;2022;3;649
8117;2022/04;2022;4;437
8117;2022/05;2022;5;498
8121;2022/01;2022;1;616
8121;2022/02;2022;2;545
8121;2022/03;2022;3;725
8121;2022/04;2022;4;432
8121;2022/05;2022;5;501
8122;2022/01;2022;1;443
8122;2022/02;2022;2;393
8122;2022/03;2022;3;779
8122;2022/04;2022;4;490
8122;2022/05;2022;5;664
8123;2022/01;2022;1;1 568
8123;2022/02;2022;2;1 072
8123;2022/03;2022;3;1 717
8123;2022/04;2022;4;1 036
8123;2022/05;2022;5;1 276
8127;2022/01;2022;1;833
8127;2022/02;2022;2;533
8127;2022/03;2022;3;890
8127;2022/04;2022;4;598
8127;2022/05;2022;5;747
8128;2022/01;2022;1;297
8128;2022/02;2022;2;222
8128;2022/03;2022;3;336
8128;2022/04;2022;4;264
8128;2022/05;2022;5;332
8129;2022/01;2022;1;34
8129;2022/02;2022;2;35
8129;2022/03;2022;3;33
8129;2022/04;2022;4;34
8129;2022/05;2022;5;51
8131;2022/01;2022;1;967
8131;2022/02;2022;2;640
8131;2022/03;2022;3;1 180
8131;2022/04;2022;4;846
8131;2022/05;2022;5;909
8132;2022/01;2022;1;1 514
8132;2022/02;2022;2;1 052
8132;2022/03;2022;3;1 566
8132;2022/04;2022;4;998
8132;2022/05;2022;5;1 219
8133;2022/01;2022;1;1 643
8133;2022/02;2022;2;1 293
8133;2022/03;2022;3;2 150
8133;2022/04;2022;4;1 453
8133;2022/05;2022;5;1 829
8135;2022/01;2022;1;429
8135;2022/02;2022;2;335
8135;2022/03;2022;3;485
8135;2022/04;2022;4;319
8135;2022/05;2022;5;404
8136;2022/01;2022;1;546
8136;2022/02;2022;2;427
8136;2022/03;2022;3;747
8136;2022/04;2022;4;471
8136;2022/05;2022;5;464
8140;2022/05;2022;5;99
8141;2022/01;2022;1;1 878
8141;2022/02;2022;2;1 166
8141;2022/03;2022;3;1 756
8141;2022/04;2022;4;1 335
8141;2022/05;2022;5;1 390
8142;2022/01;2022;1;1 777
8142;2022/02;2022;2;1 391
8142;2022/03;2022;3;2 208
8142;2022/04;2022;4;1 646
8142;2022/05;2022;5;1 591
8143;2022/01;2022;1;861
8143;2022/02;2022;2;770
8143;2022/03;2022;3;1 036
8143;2022/04;2022;4;935
8143;2022/05;2022;5;964
8144;2022/01;2022;1;472
8144;2022/02;2022;2;396
8144;2022/03;2022;3;530
8144;2022/04;2022;4;398
8144;2022/05;2022;5;476
8145;2022/01;2022;1;540
8145;2022/02;2022;2;315
8145;2022/03;2022;3;510
8145;2022/04;2022;4;369
8145;2022/05;2022;5;444
8146;2022/01;2022;1;802
8146;2022/02;2022;2;411
8146;2022/03;2022;3;817
8146;2022/04;2022;4;545
8146;2022/05;2022;5;707
8147;2022/01;2022;1;325
8147;2022/02;2022;2;184
8147;2022/03;2022;3;303
8147;2022/04;2022;4;233
8147;2022/05;2022;5;293
8150;2022/01;2022;1;634
8150;2022/02;2022;2;390
8150;2022/03;2022;3;744
8150;2022/04;2022;4;495
8150;2022/05;2022;5;654
8151;2022/01;2022;1;1 196
8151;2022/02;2022;2;906
8151;2022/03;2022;3;1 404
8151;2022/04;2022;4;998
8151;2022/05;2022;5;1 181
8162;2022/01;2022;1;504
8162;2022/02;2022;2;357
8162;2022/03;2022;3;575
8162;2022/04;2022;4;320
8162;2022/05;2022;5;381
8163;2022/01;2022;1;184
8163;2022/02;2022;2;152
8163;2022/03;2022;3;309
8163;2022/04;2022;4;114
8163;2022/05;2022;5;175
8185;2022/01;2022;1;2 986
8185;2022/02;2022;2;3 195
8185;2022/03;2022;3;3 864
8185;2022/04;2022;4;3 354
8185;2022/05;2022;5;3 543
8200;2022/01;2022;1;560
8200;2022/02;2022;2;893
8200;2022/03;2022;3;1 074
8200;2022/04;2022;4;523
8209;2022/01;2022;1;8 095
8209;2022/02;2022;2;7 126
8209;2022/03;2022;3;11 365
8209;2022/04;2022;4;7 030
8209;2022/05;2022;5;8 549
8281;2022/01;2022;1;2 841
8281;2022/02;2022;2;2 920
8281;2022/03;2022;3;3 694
8281;2022/04;2022;4;3 907
8281;2022/05;2022;5;4 162
8301;2022/01;2022;1;3 444
8301;2022/02;2022;2;2 189
8301;2022/03;2022;3;3 975
8301;2022/04;2022;4;2 316
8301;2022/05;2022;5;3 064
8305;2022/01;2022;1;2 230
8305;2022/02;2022;2;1 438
8305;2022/03;2022;3;2 965
8305;2022/04;2022;4;1 517
8305;2022/05;2022;5;1 732
8312;2022/01;2022;1;2 289
8312;2022/02;2022;2;1 554
8312;2022/03;2022;3;2 192
8312;2022/04;2022;4;1 525
8312;2022/05;2022;5;1 890
