Kommunenavn;Period;År;Måned;Antall
Totals;Totals;Totals;Totals;11 718 336
;2023/01;2023;1;176
;2023/02;2023;2;22
;2023/05;2023;5;404
;2023/09;2023;9;11
Agder;2023/01;2023;1;40
Agder;2023/02;2023;2;30
Agder;2023/03;2023;3;31
Agder;2023/04;2023;4;26
Agder;2023/05;2023;5;39
Agder;2023/06;2023;6;46
Agder;2023/07;2023;7;144
Agder;2023/08;2023;8;78
Agder;2023/09;2023;9;55
Bamble;2023/01;2023;1;43 701
Bamble;2023/02;2023;2;36 571
Bamble;2023/03;2023;3;47 898
Bamble;2023/04;2023;4;33 601
Bamble;2023/05;2023;5;38 404
Bamble;2023/06;2023;6;33 218
Bamble;2023/07;2023;7;23 300
Bamble;2023/08;2023;8;32 761
Bamble;2023/09;2023;9;45 505
Bykle;2023/04;2023;4;13
Drammen;2023/01;2023;1;10 548
Drammen;2023/02;2023;2;9 686
Drammen;2023/03;2023;3;11 859
Drammen;2023/04;2023;4;9 328
Drammen;2023/05;2023;5;10 495
Drammen;2023/06;2023;6;9 424
Drammen;2023/07;2023;7;6 408
Drammen;2023/08;2023;8;9 670
Drammen;2023/09;2023;9;12 126
Drangedal;2023/01;2023;1;8 388
Drangedal;2023/02;2023;2;5 977
Drangedal;2023/03;2023;3;9 133
Drangedal;2023/04;2023;4;5 692
Drangedal;2023/05;2023;5;7 027
Drangedal;2023/06;2023;6;4 056
Drangedal;2023/07;2023;7;583
Drangedal;2023/08;2023;8;3 771
Drangedal;2023/09;2023;9;7 997
Fyresdal;2023/01;2023;1;1 455
Fyresdal;2023/02;2023;2;1 154
Fyresdal;2023/03;2023;3;1 771
Fyresdal;2023/04;2023;4;1 151
Fyresdal;2023/05;2023;5;1 038
Fyresdal;2023/06;2023;6;703
Fyresdal;2023/07;2023;7;124
Fyresdal;2023/08;2023;8;656
Fyresdal;2023/09;2023;9;1 520
Færder;2023/01;2023;1;97 510
Færder;2023/02;2023;2;83 955
Færder;2023/03;2023;3;104 422
Færder;2023/04;2023;4;79 418
Færder;2023/05;2023;5;88 783
Færder;2023/06;2023;6;82 017
Færder;2023/07;2023;7;58 956
Færder;2023/08;2023;8;76 774
Færder;2023/09;2023;9;99 530
Hjartdal;2023/01;2023;1;2 025
Hjartdal;2023/02;2023;2;1 324
Hjartdal;2023/03;2023;3;2 283
Hjartdal;2023/04;2023;4;1 335
Hjartdal;2023/05;2023;5;1 652
Hjartdal;2023/06;2023;6;968
Hjartdal;2023/08;2023;8;1 027
Hjartdal;2023/09;2023;9;2 298
Holmestrand;2023/01;2023;1;70 025
Holmestrand;2023/02;2023;2;55 370
Holmestrand;2023/03;2023;3;76 846
Holmestrand;2023/04;2023;4;50 321
Holmestrand;2023/05;2023;5;56 953
Holmestrand;2023/06;2023;6;42 832
Holmestrand;2023/07;2023;7;17 433
Holmestrand;2023/08;2023;8;42 728
Holmestrand;2023/09;2023;9;71 964
Horten;2023/01;2023;1;96 451
Horten;2023/02;2023;2;85 868
Horten;2023/03;2023;3;105 018
Horten;2023/04;2023;4;75 088
Horten;2023/05;2023;5;80 935
Horten;2023/06;2023;6;70 261
Horten;2023/07;2023;7;44 811
Horten;2023/08;2023;8;76 049
Horten;2023/09;2023;9;93 278
Kongsberg;2023/01;2023;1;141
Kongsberg;2023/02;2023;2;97
Kongsberg;2023/03;2023;3;130
Kongsberg;2023/04;2023;4;17
Kongsberg;2023/05;2023;5;36
Kongsberg;2023/06;2023;6;63
Kongsberg;2023/08;2023;8;51
Kongsberg;2023/09;2023;9;134
Kragerø;2023/01;2023;1;28 328
Kragerø;2023/02;2023;2;24 395
Kragerø;2023/03;2023;3;32 005
Kragerø;2023/04;2023;4;32 758
Kragerø;2023/05;2023;5;39 153
Kragerø;2023/06;2023;6;37 550
Kragerø;2023/07;2023;7;62 692
Kragerø;2023/08;2023;8;34 908
Kragerø;2023/09;2023;9;33 140
Kviteseid;2023/01;2023;1;4 902
Kviteseid;2023/02;2023;2;3 436
Kviteseid;2023/03;2023;3;5 158
Kviteseid;2023/04;2023;4;3 351
Kviteseid;2023/05;2023;5;4 193
Kviteseid;2023/06;2023;6;2 411
Kviteseid;2023/07;2023;7;418
Kviteseid;2023/08;2023;8;2 169
Kviteseid;2023/09;2023;9;4 818
Larvik;2023/01;2023;1;127 054
Larvik;2023/02;2023;2;111 199
Larvik;2023/03;2023;3;141 910
Larvik;2023/04;2023;4;97 574
Larvik;2023/05;2023;5;106 589
Larvik;2023/06;2023;6;95 206
Larvik;2023/07;2023;7;70 154
Larvik;2023/08;2023;8;90 012
Larvik;2023/09;2023;9;122 239
Midt-Telemark;2023/01;2023;1;24 697
Midt-Telemark;2023/02;2023;2;19 526
Midt-Telemark;2023/03;2023;3;27 734
Midt-Telemark;2023/04;2023;4;17 252
Midt-Telemark;2023/05;2023;5;20 467
Midt-Telemark;2023/06;2023;6;15 111
Midt-Telemark;2023/07;2023;7;9 339
Midt-Telemark;2023/08;2023;8;14 460
Midt-Telemark;2023/09;2023;9;24 967
Nissedal;2023/01;2023;1;1 664
Nissedal;2023/02;2023;2;1 046
Nissedal;2023/03;2023;3;1 594
Nissedal;2023/04;2023;4;1 040
Nissedal;2023/05;2023;5;1 214
Nissedal;2023/06;2023;6;876
Nissedal;2023/07;2023;7;104
Nissedal;2023/08;2023;8;657
Nissedal;2023/09;2023;9;1 533
Nome;2023/01;2023;1;16 601
Nome;2023/02;2023;2;13 729
Nome;2023/03;2023;3;18 876
Nome;2023/04;2023;4;11 852
Nome;2023/05;2023;5;14 241
Nome;2023/06;2023;6;10 942
Nome;2023/07;2023;7;6 078
Nome;2023/08;2023;8;11 395
Nome;2023/09;2023;9;18 638
Notodden;2023/01;2023;1;21 869
Notodden;2023/02;2023;2;17 513
Notodden;2023/03;2023;3;23 888
Notodden;2023/04;2023;4;15 968
Notodden;2023/05;2023;5;17 116
Notodden;2023/06;2023;6;12 651
Notodden;2023/07;2023;7;6 622
Notodden;2023/08;2023;8;15 669
Notodden;2023/09;2023;9;19 651
Porsgrunn;2023/01;2023;1;187 750
Porsgrunn;2023/02;2023;2;168 176
Porsgrunn;2023/03;2023;3;207 979
Porsgrunn;2023/04;2023;4;150 318
Porsgrunn;2023/05;2023;5;163 525
Porsgrunn;2023/06;2023;6;148 230
Porsgrunn;2023/07;2023;7;97 232
Porsgrunn;2023/08;2023;8;149 885
Porsgrunn;2023/09;2023;9;191 595
Sandefjord;2023/01;2023;1;166 991
Sandefjord;2023/02;2023;2;138 446
Sandefjord;2023/03;2023;3;175 493
Sandefjord;2023/04;2023;4;114 179
Sandefjord;2023/05;2023;5;122 786
Sandefjord;2023/06;2023;6;102 112
Sandefjord;2023/07;2023;7;66 023
Sandefjord;2023/08;2023;8;104 017
Sandefjord;2023/09;2023;9;145 846
Seljord;2023/01;2023;1;4 910
Seljord;2023/02;2023;2;3 986
Seljord;2023/03;2023;3;5 347
Seljord;2023/04;2023;4;3 780
Seljord;2023/05;2023;5;4 370
Seljord;2023/06;2023;6;3 142
Seljord;2023/07;2023;7;2 014
Seljord;2023/08;2023;8;3 662
Seljord;2023/09;2023;9;6 453
Siljan;2023/01;2023;1;5 740
Siljan;2023/02;2023;2;4 392
Siljan;2023/03;2023;3;6 155
Siljan;2023/04;2023;4;3 954
Siljan;2023/05;2023;5;4 442
Siljan;2023/06;2023;6;3 633
Siljan;2023/07;2023;7;1 124
Siljan;2023/08;2023;8;3 343
Siljan;2023/09;2023;9;5 714
