Linje;Period;År;Måned;Antall
8001;2023/01;2023;1;137 343
8001;2023/02;2023;2;124 805
8001;2023/03;2023;3;149 892
8001;2023/04;2023;4;113 835
8001;2023/05;2023;5;125 789
8001;2023/06;2023;6;119 201
8001;2023/07;2023;7;87 885
8001;2023/08;2023;8;117 597
8001;2023/09;2023;9;138 575
8002;2023/01;2023;1;109 327
8002;2023/02;2023;2;96 091
8002;2023/03;2023;3;120 308
8002;2023/04;2023;4;84 480
8002;2023/05;2023;5;91 238
8002;2023/06;2023;6;76 821
8002;2023/07;2023;7;45 611
8002;2023/08;2023;8;79 903
8002;2023/09;2023;9;103 772
8003;2023/01;2023;1;107 601
8003;2023/02;2023;2;96 740
8003;2023/03;2023;3;116 433
8003;2023/04;2023;4;82 827
8003;2023/05;2023;5;91 422
8003;2023/06;2023;6;82 379
8003;2023/07;2023;7;52 041
8003;2023/08;2023;8;83 458
8003;2023/09;2023;9;104 786
8004;2023/01;2023;1;19 319
8004;2023/02;2023;2;17 583
8004;2023/03;2023;3;20 909
8004;2023/04;2023;4;13 766
8004;2023/05;2023;5;14 715
8004;2023/06;2023;6;14 220
8004;2023/07;2023;7;8 519
8004;2023/08;2023;8;14 002
8004;2023/09;2023;9;17 521
8005;2023/01;2023;1;16 728
8005;2023/02;2023;2;14 552
8005;2023/03;2023;3;18 140
8005;2023/04;2023;4;12 524
8005;2023/05;2023;5;13 241
8005;2023/06;2023;6;11 869
8005;2023/07;2023;7;7 547
8005;2023/08;2023;8;11 588
8005;2023/09;2023;9;15 121
8006;2023/01;2023;1;17 769
8006;2023/02;2023;2;14 649
8006;2023/03;2023;3;18 881
8006;2023/04;2023;4;11 787
8006;2023/05;2023;5;13 890
8006;2023/06;2023;6;11 649
8006;2023/07;2023;7;6 175
8006;2023/08;2023;8;11 988
8006;2023/09;2023;9;15 818
8007;2023/01;2023;1;13 007
8007;2023/02;2023;2;10 743
8007;2023/03;2023;3;13 143
8007;2023/04;2023;4;8 624
8007;2023/05;2023;5;9 372
8007;2023/06;2023;6;9 034
8007;2023/07;2023;7;5 063
8007;2023/08;2023;8;9 352
8007;2023/09;2023;9;11 734
8008;2023/01;2023;1;3 505
8008;2023/02;2023;2;3 201
8008;2023/03;2023;3;3 914
8008;2023/04;2023;4;2 564
8008;2023/05;2023;5;2 739
8008;2023/06;2023;6;2 746
8008;2023/07;2023;7;1 854
8008;2023/08;2023;8;3 012
8008;2023/09;2023;9;3 822
8010;2023/01;2023;1;6 440
8010;2023/02;2023;2;4 992
8010;2023/03;2023;3;7 438
8010;2023/04;2023;4;4 547
8010;2023/05;2023;5;5 297
8010;2023/06;2023;6;3 744
8010;2023/07;2023;7;1 844
8010;2023/08;2023;8;4 925
8010;2023/09;2023;9;7 950
8011;2023/01;2023;1;1 348
8011;2023/02;2023;2;1 374
8011;2023/03;2023;3;1 944
8011;2023/04;2023;4;1 408
8011;2023/05;2023;5;1 534
8011;2023/06;2023;6;1 497
8011;2023/07;2023;7;808
8011;2023/08;2023;8;2 099
8011;2023/09;2023;9;1 646
8012;2023/01;2023;1;1 798
8012;2023/02;2023;2;1 565
8012;2023/03;2023;3;1 837
8012;2023/04;2023;4;1 354
8012;2023/05;2023;5;1 281
8012;2023/06;2023;6;1 091
8012;2023/07;2023;7;687
8012;2023/08;2023;8;1 289
8012;2023/09;2023;9;1 467
8013;2023/01;2023;1;1 847
8013;2023/02;2023;2;1 611
8013;2023/03;2023;3;1 960
8013;2023/04;2023;4;1 273
8013;2023/05;2023;5;1 442
8013;2023/06;2023;6;1 151
8013;2023/07;2023;7;660
8013;2023/08;2023;8;1 500
8013;2023/09;2023;9;1 571
8014;2023/01;2023;1;1 043
8014;2023/02;2023;2;923
8014;2023/03;2023;3;1 223
8014;2023/04;2023;4;922
8014;2023/05;2023;5;1 071
8014;2023/06;2023;6;956
8014;2023/07;2023;7;857
8014;2023/08;2023;8;1 567
8014;2023/09;2023;9;1 153
8015;2023/01;2023;1;1 505
8015;2023/02;2023;2;1 310
8015;2023/03;2023;3;1 747
8015;2023/04;2023;4;1 005
8015;2023/05;2023;5;1 213
8015;2023/06;2023;6;1 000
8015;2023/07;2023;7;625
8015;2023/08;2023;8;1 135
8015;2023/09;2023;9;1 189
8016;2023/01;2023;1;970
8016;2023/02;2023;2;753
8016;2023/03;2023;3;1 161
8016;2023/04;2023;4;820
8016;2023/05;2023;5;865
8016;2023/06;2023;6;678
8016;2023/07;2023;7;519
8016;2023/08;2023;8;1 454
8016;2023/09;2023;9;828
8084;2023/01;2023;1;758
8084;2023/02;2023;2;605
8084;2023/03;2023;3;678
8084;2023/04;2023;4;436
8084;2023/05;2023;5;408
8084;2023/06;2023;6;437
8084;2023/07;2023;7;285
8084;2023/08;2023;8;479
8084;2023/09;2023;9;430
8101;2023/01;2023;1;1 210
8101;2023/02;2023;2;901
8101;2023/03;2023;3;1 998
8101;2023/04;2023;4;987
8101;2023/05;2023;5;1 192
8101;2023/06;2023;6;624
8101;2023/07;2023;7;11
8101;2023/08;2023;8;537
8101;2023/09;2023;9;1 173
8102;2023/01;2023;1;2 186
8102;2023/02;2023;2;1 786
8102;2023/03;2023;3;2 342
8102;2023/04;2023;4;1 774
8102;2023/05;2023;5;1 981
8102;2023/06;2023;6;1 489
8102;2023/07;2023;7;893
8102;2023/08;2023;8;1 398
8102;2023/09;2023;9;2 360
8103;2023/01;2023;1;6 340
8103;2023/02;2023;2;5 799
8103;2023/03;2023;3;7 926
8103;2023/04;2023;4;5 045
8103;2023/05;2023;5;6 099
8103;2023/06;2023;6;4 944
8103;2023/07;2023;7;2 574
8103;2023/08;2023;8;5 134
8103;2023/09;2023;9;8 226
8104;2023/01;2023;1;426
8104;2023/02;2023;2;321
8104;2023/03;2023;3;517
8104;2023/04;2023;4;348
8104;2023/05;2023;5;405
8104;2023/06;2023;6;245
8104;2023/08;2023;8;205
8104;2023/09;2023;9;571
8111;2023/01;2023;1;1 282
8111;2023/02;2023;2;892
8111;2023/03;2023;3;1 354
8111;2023/04;2023;4;797
8111;2023/05;2023;5;1 041
8111;2023/06;2023;6;598
8111;2023/08;2023;8;659
8111;2023/09;2023;9;1 322
8113;2023/01;2023;1;21
8113;2023/02;2023;2;19
8113;2023/03;2023;3;49
8113;2023/04;2023;4;16
8113;2023/05;2023;5;20
8113;2023/06;2023;6;14
8113;2023/08;2023;8;17
8113;2023/09;2023;9;66
8115;2023/01;2023;1;667
8115;2023/02;2023;2;499
8115;2023/03;2023;3;833
8115;2023/04;2023;4;328
8115;2023/05;2023;5;410
8115;2023/06;2023;6;300
8115;2023/08;2023;8;198
8115;2023/09;2023;9;518
8116;2023/01;2023;1;1 974
8116;2023/02;2023;2;1 687
8116;2023/03;2023;3;2 193
8116;2023/04;2023;4;1 212
8116;2023/05;2023;5;1 419
8116;2023/06;2023;6;2 197
8116;2023/07;2023;7;2 941
8116;2023/08;2023;8;1 630
8116;2023/09;2023;9;1 506
8117;2023/01;2023;1;572
8117;2023/02;2023;2;458
8117;2023/03;2023;3;300
8117;2023/04;2023;4;221
8117;2023/05;2023;5;238
8117;2023/06;2023;6;346
8117;2023/07;2023;7;172
8117;2023/08;2023;8;190
8117;2023/09;2023;9;209
8121;2023/01;2023;1;977
8121;2023/02;2023;2;604
8121;2023/03;2023;3;1 064
8121;2023/04;2023;4;642
8121;2023/05;2023;5;575
8121;2023/06;2023;6;162
8121;2023/08;2023;8;398
8121;2023/09;2023;9;921
8122;2023/01;2023;1;1 220
8122;2023/02;2023;2;803
8122;2023/03;2023;3;1 189
8122;2023/04;2023;4;625
8122;2023/05;2023;5;807
8122;2023/06;2023;6;521
8122;2023/08;2023;8;367
8122;2023/09;2023;9;1 031
8123;2023/01;2023;1;2 257
8123;2023/02;2023;2;1 527
8123;2023/03;2023;3;2 437
8123;2023/04;2023;4;1 263
8123;2023/05;2023;5;1 573
8123;2023/06;2023;6;868
8123;2023/08;2023;8;695
8123;2023/09;2023;9;1 872
8127;2023/01;2023;1;894
8127;2023/02;2023;2;643
8127;2023/03;2023;3;1 012
8127;2023/04;2023;4;559
8127;2023/05;2023;5;731
8127;2023/06;2023;6;442
8127;2023/08;2023;8;499
8127;2023/09;2023;9;1 181
8128;2023/01;2023;1;268
8128;2023/02;2023;2;197
8128;2023/03;2023;3;333
8128;2023/04;2023;4;201
8128;2023/05;2023;5;261
8128;2023/06;2023;6;131
8128;2023/08;2023;8;110
8128;2023/09;2023;9;288
8129;2023/01;2023;1;110
8129;2023/02;2023;2;89
8129;2023/03;2023;3;131
8129;2023/04;2023;4;179
8129;2023/05;2023;5;130
8129;2023/06;2023;6;140
8129;2023/07;2023;7;111
8129;2023/08;2023;8;99
8129;2023/09;2023;9;129
8131;2023/01;2023;1;832
8131;2023/02;2023;2;359
8131;2023/03;2023;3;673
8131;2023/04;2023;4;439
8131;2023/05;2023;5;573
8131;2023/06;2023;6;455
8131;2023/07;2023;7;256
8131;2023/08;2023;8;425
8131;2023/09;2023;9;679
8132;2023/01;2023;1;1 921
8132;2023/02;2023;2;1 316
8132;2023/03;2023;3;1 801
8132;2023/04;2023;4;1 227
8132;2023/05;2023;5;1 345
8132;2023/06;2023;6;474
8132;2023/08;2023;8;639
8132;2023/09;2023;9;1 586
8133;2023/01;2023;1;2 123
8133;2023/02;2023;2;1 325
8133;2023/03;2023;3;2 195
8133;2023/04;2023;4;1 388
8133;2023/05;2023;5;1 809
8133;2023/06;2023;6;967
8133;2023/08;2023;8;808
8133;2023/09;2023;9;2 005
8135;2023/01;2023;1;455
8135;2023/02;2023;2;335
8135;2023/03;2023;3;510
8135;2023/04;2023;4;300
8135;2023/05;2023;5;356
8135;2023/06;2023;6;235
8135;2023/08;2023;8;203
8135;2023/09;2023;9;475
8136;2023/01;2023;1;619
8136;2023/02;2023;2;495
8136;2023/03;2023;3;621
8136;2023/04;2023;4;420
8136;2023/05;2023;5;473
8136;2023/06;2023;6;299
8136;2023/08;2023;8;188
8136;2023/09;2023;9;566
8140;2023/05;2023;5;77
8140;2023/06;2023;6;264
8140;2023/07;2023;7;475
8140;2023/08;2023;8;305
8140;2023/09;2023;9;162
8141;2023/01;2023;1;2 102
8141;2023/02;2023;2;1 349
8141;2023/03;2023;3;1 937
8141;2023/04;2023;4;1 359
8141;2023/05;2023;5;1 359
8141;2023/06;2023;6;706
8141;2023/08;2023;8;828
8141;2023/09;2023;9;1 995
8142;2023/01;2023;1;2 420
8142;2023/02;2023;2;1 636
8142;2023/03;2023;3;2 183
8142;2023/04;2023;4;1 486
8142;2023/05;2023;5;1 501
8142;2023/06;2023;6;879
8142;2023/07;2023;7;360
8142;2023/08;2023;8;1 053
8142;2023/09;2023;9;1 877
8143;2023/01;2023;1;1 251
8143;2023/02;2023;2;1 079
8143;2023/03;2023;3;1 169
8143;2023/04;2023;4;1 011
8143;2023/05;2023;5;848
8143;2023/06;2023;6;714
8143;2023/07;2023;7;476
8143;2023/08;2023;8;898
8143;2023/09;2023;9;1 227
8144;2023/01;2023;1;592
8144;2023/02;2023;2;449
8144;2023/03;2023;3;553
8144;2023/04;2023;4;423
8144;2023/05;2023;5;549
8144;2023/06;2023;6;332
8144;2023/08;2023;8;245
8144;2023/09;2023;9;482
8145;2023/01;2023;1;389
8145;2023/02;2023;2;270
8145;2023/03;2023;3;422
8145;2023/04;2023;4;303
8145;2023/05;2023;5;357
8145;2023/06;2023;6;174
8145;2023/08;2023;8;176
8145;2023/09;2023;9;455
8146;2023/01;2023;1;789
8146;2023/02;2023;2;558
8146;2023/03;2023;3;655
8146;2023/04;2023;4;399
8146;2023/05;2023;5;575
8146;2023/06;2023;6;396
8146;2023/08;2023;8;373
